2011-08-19 11:35:14 Debug: Notice (8): Undefined index: Question in [C:\xampp\htdocs\quizscript\app\models\question.php, line 115]
2011-08-19 11:35:15 Debug: Notice (8): Undefined index: Question in [C:\xampp\htdocs\quizscript\app\models\question.php, line 115]
2011-08-19 11:35:16 Debug: Notice (8): Undefined index: Question in [C:\xampp\htdocs\quizscript\app\models\question.php, line 115]
2011-08-19 11:35:34 Debug: Notice (8): Undefined index: QuestionQuiz in [C:\xampp\htdocs\quizscript\app\models\question.php, line 115]
2011-08-19 11:38:26 Debug: Notice (8): Undefined variable: quiz_question_id in [C:\xampp\htdocs\quizscript\app\models\question.php, line 115]
2011-08-19 11:39:29 Debug: Notice (8): Undefined variable: quiz_question_data in [C:\xampp\htdocs\quizscript\app\models\question.php, line 115]
2011-08-19 11:39:30 Debug: Notice (8): Undefined variable: quiz_question_data in [C:\xampp\htdocs\quizscript\app\models\question.php, line 115]
2011-08-19 11:39:48 Debug: Notice (8): Undefined index: QuestionQuiz in [C:\xampp\htdocs\quizscript\app\models\question.php, line 115]
2011-08-19 11:41:22 Debug: Notice (8): Undefined index: QuestionQuiz in [C:\xampp\htdocs\quizscript\app\models\question.php, line 116]
2011-08-19 11:41:22 Debug: Notice (8): Undefined index: Question in [C:\xampp\htdocs\quizscript\app\models\question.php, line 120]
2011-08-19 11:41:58 Debug: Notice (8): Undefined index: Question in [C:\xampp\htdocs\quizscript\app\models\question.php, line 120]
2011-08-21 08:38:56 Debug: Notice (8): Undefined index: Choices in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 6]
2011-08-21 08:41:51 Debug: Notice (8): Undefined index: Question in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 4]
2011-08-21 08:44:10 Debug: Notice (8): Undefined index: Question in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 4]
2011-08-21 08:56:54 Debug: Notice (8): Undefined index: Question in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 21]
2011-08-21 08:58:57 Debug: Notice (8): Undefined variable: question_and_choices in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 7]
2011-08-21 09:08:07 Debug: Notice (8): Array to string conversion in [C:\xampp\htdocs\quizscript\cake\libs\view\helper.php, line 415]
2011-08-21 09:08:07 Debug: Notice (8): Array to string conversion in [C:\xampp\htdocs\quizscript\cake\libs\view\view.php, line 633]
2011-08-21 09:08:08 Debug: Notice (8): Array to string conversion in [C:\xampp\htdocs\quizscript\cake\libs\view\helper.php, line 415]
2011-08-21 09:08:08 Debug: Notice (8): Array to string conversion in [C:\xampp\htdocs\quizscript\cake\libs\view\view.php, line 633]
2011-08-21 09:25:49 Debug: Notice (8): Undefined variable: attributes in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 9]
2011-08-21 09:26:03 Debug: Notice (8): Undefined variable: attributes in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 9]
2011-08-21 09:26:14 Debug: Notice (8): Undefined variable: attributes in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 9]
2011-08-21 13:41:21 Debug: Notice (8): Undefined property: Question::$Article in [C:\xampp\htdocs\quizscript\app\models\question.php, line 112]
2011-08-21 13:42:18 Debug: Notice (8): Undefined variable: data in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 21]
2011-08-21 13:42:18 Debug: Notice (8): Undefined variable: data in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 23]
2011-08-21 13:42:18 Debug: Notice (8): Undefined offset: 1 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 13:42:18 Debug: Notice (8): Undefined offset: 2 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 13:42:18 Debug: Notice (8): Undefined offset: 3 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 13:42:18 Debug: Notice (8): Undefined offset: 4 in [C:\xampp\htdocs\quizscript\app\views\questions\display.ctp, line 8]
2011-08-21 13:43:06 Debug: Notice (8): Uninitialized string offset: 36 in [C:\xampp\htdocs\quizscript\app\views\quizzes\register.ctp, line 12]
2011-08-21 14:11:28 Debug: Notice (8): Undefined property: Question::$Article in [C:\xampp\htdocs\quizscript\app\models\question.php, line 113]
2011-08-21 14:15:12 Debug: Notice (8): Undefined variable: ah in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 17]
2011-08-21 14:16:50 Debug: Notice (8): Undefined variable: ah in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 17]
